,name,price1,price2
195,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
196,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
197,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
198,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
199,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
200,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
201,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
202,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
203,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
204,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
205,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
206,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
207,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
208,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
209,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
210,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
211,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
212,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
213,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
214,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
215,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
216,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
217,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
218,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
219,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
220,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
221,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
222,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
223,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
224,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
225,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
226,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
227,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
228,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
229,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
230,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
231,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
232,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
233,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
234,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
235,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
236,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
237,Samsung Galaxy A04,"1,143.00 Dhs","1,143.00 Dhs"
